CourseID,Section,CourseName,Room,Days,StartTime,Semester,NumberOfStudentsRegistered,NumberOfAvailableSeats,URL,Prerequisite1,Prerequisite2
CSCE10,1,INTRODUCTION TO CSE,AVH115,TUESDAY,1700,1198,8,5,,,
CSCE10,2,INTRODUCTION TO CSE,LPH137,FRIDAY,1030,1198,16,5,,,
CSCE10,3,INTRODUCTION TO CSE,AVH111,TUESDAY,1600,1198,15,17,,,
CSCE10,5,INTRODUCTION TO CSE,KAUF112,TUESDAY,1530,1198,17,4,,,
CSCE100,1,INTRO TO INFORMATICS,HAH133,TUESDAY,1100,1198,17,2,,,
CSCE101,1,FUND OF COMPUTER SCI,AVH106,MONDAY,1130,1198,8,18,,,
CSCE101,ONLINE,FUND OF COMPUTER SCI,,,,1198,15,,https://xyzzy.edu/foo,,
CSCE120,1,LEARNING TO CODE,AVH110,TUESDAY,1700,1198,4,19,,,
CSCE155,250,COMP SCI I,HENZ124,MONDAY,1700,1198,7,20,,,
CSCE155,150,COMP SCI I,AVH119,TUESDAY,1100,1198,18,15,,,
CSCE155,250,COMP SCI I,BESY117,MONDAY,1430,1198,10,16,,,
CSCE155,ONLINE,COMP SCI I,,, ,1198,13,,https://xyzzy.edu/bar,,
CSCE155,150,COMP SCI I,AVH112,TUESDAY,0800,1198,1,10,,,
CSCE156,150,COMPUTER SCIENCE II,AVH106,TUESDAY,1400,1198,12,11,,CSCE155,
CSCE196,1,SPECIAL TOPICS,AVH115,TUESDAY,1700,1198,17,17,,,
CSCE196,2,SPECIAL TOPICS,LPH137,FRIDAY,1030,1198,16,3,,,
CSCE196,3,SPECIAL TOPICS,AVH111,TUESDAY,1600,1198,9,5,,,
CSCE230,150,COMPUTER ORGANIZATN,HAH112,MONDAY,0930,1198,2,7,,CSCE155,
CSCE231,150,COMP SYSTMS ENGINEERING,BL206,MONDAY,1230,1198,9,17,,CSCE235,
CSCE235,150,INTR DISCRETE STRUCT,LPH27,TUESDAY,1230,1198,13,10,,CSCE155,
CSCE251,ONLINE,UNIX PROGRAMMING,,,,1198,10,,https://xyzzy.edu/baz,,
CSCE310,150,DATA STRUCT & ALGORITH,AVH115,MONDAY,1330,1198,17,14,,CSCE156,CSCE235
CSCE310,1,DATA STRUCT & ALGORITH,AVH119,MONDAY,1230,1198,10,17,,CSCE156,CSCE235
CSCE322,1,PRGRM LANG CONCEPTS,AVH106,MONDAY,1030,1198,12,17,,CSCE156,
CSCE351,1,OPERATNG SYS KERNELS,HAH102,TUESDAY,0930,1198,9,19,,CSCE230 OR CSCE231,CSCE310
CSCE361,2,SOFTWARE ENGINEERING,AVH115,MONDAY,1430,1198,12,11,,CSCE310,
CSCE378,1,HUM-COMPUTR INTERACT,LPH105,MONDAY,1430,1198,15,1,,CSCE156,
CSCE378,2,HUM-COMPUTR INTERACT,LPH105,MONDAY,1530,1198,17,19,,CSCE156,
CSCE411,1,DATA MODELING SYST DEV,AVH108,MONDAY,1230,1198,4,20,,CSCE310,
CSCE413,1,DATABASE SYSTEMS,AVH119,MONDAY,1130,1198,20,20,,CSCE310,
CSCE423,1,DSGN & ANLYS ALGORTHMS,AVH106,MONDAY,1330,1198,13,3,,CSCE310,
CSCE428,1,AUTOMA COMP &LANG,AVH19,MONDAY,1230,1198,10,2,,CSCE310,
CSCE438,150,SENSOR NETWORKS,AVH106,MONDAY,0930,1198,1,20,,CSCE230,CSCE310
CSCE438,151,SENSOR NETWORKS,AVH21,MONDAY,0830,1198,11,12,,CSCE230,CSCE310
CSCE440,1,NUMERICAL ANALYSIS I,AVH19,MONDAY,1430,1198,9,17,,CSCE155,
CSCE457,1,SYSTEMS ADMINISTRATN,AVH119,TUESDAY,0800,1198,14,9,,CSCE310,
CSCE458,1,MOLECULAR AND NANO COMM,AVH119,MONDAY,1330,1198,7,16,,CSCE310,
CSCE461,1,ADV TOP IN SOFTWARE ENGR,BESY108,MONDAY,1230,1198,0,19,,CSCE361,
CSCE462,1,COMM NETWORKS,LPH27,MONDAY,1230,1198,16,17,,CSCE310,
CSCE467,1,TSTNG VERIFCTION & ANLYS,HAH110,TUESDAY,1100,1198,4,3,,CSCE361,
CSCE473,1,COMPUTER VISION,HAH133,TUESDAY,0930,1198,14,17,,CSCE156,
CSCE476,1,INTRO ARTIFCL INTELL,AVH118,MONDAY,1430,1198,1,13,,CSCE310,
CSCE476,2,INTRO ARTIFCL INTELL,AVH21,MONDAY,1530,1198,14,16,,CSCE310,
CSCE477,1,CRYPTOGRAPHY & SECURTY,AVH109,TUESDAY,1230,1198,15,13,,CSCE310,
CSCE478,1,INTRO MACHINE LRNG,AVH119,TUESDAY,0930,1198,20,4,,CSCE310,
CSCE478,2,INTRO MACHINE LRNG,BURN118,MONDAY,1700,1198,13,7,,CSCE310,
CSCE479,150,INTRO DEEP LEARNING,AVH119,MONDAY,1530,1198,9,0,,CSCE310,
CSCE479,151,INTRO DEEP LEARNING,AVH119,MONDAY,1630,1198,17,15,,CSCE310,
CSCE486,2,DESIGN STUDIO: CS,HAH104,TUESDAY,1400,1198,3,0,,CSCE361,
CSCE488,2,DESIGN STUDIO: CE,AVH118,TUESDAY,1400,1198,18,6,,CSCE236,CSCE361
CSCE496,2,SPECIAL TOPICS,LPH101,TUESDAY,1230,1198,20,13,,,
CSCE496,3,SPECIAL TOPICS,LPH101,TUESDAY,0930,1198,5,0,,,